Id,FIRST_NAME,LAST_NAME,TITLE,HOME_ADDRESS_LINE1,HOME_ADDRESS_LINE2,HOME_CITY_NAME,HOME_COUNTRY_NAME,LANDLINE_NUMBER,MOBILE_NUMBER,COURT,SEAT,DATE
41500,Opal,Rooney,Ms,1 East Estate,NULL,Audley,United Kingdom,441761108357,447769600807,0,Level: 3 Block: 8 Seat: 47,2015-07-10
55000,Franklin,Smith,Mr,3 South Road,NULL,Bingham,United Kingdom,441696564483,447972955520,0,Level: 2 Block: 13 Seat: 43,2015-07-12
28000,William,Sherrick,Mr,30 West Avenue,NULL,Newport Pagnell,United Kingdom,NULL,447978118686,1,Level: 1 Block: 3 Seat: 7,2015-07-08
23000,Clive,Shelton,Mr,46 Royal Avenue,NULL,Tamworth,United Kingdom,NULL,447954210411,1,Level: 3 Block: 7 Seat: 49,2015-07-07
36500,Mary,Barr,Ms,28 West Gardens,NULL,Norton Canes,United Kingdom,441754212869,447864242948,1,Level: 2 Block: 7 Seat: 105,2015-07-09
50000,Ann,Hodge,Miss,31 Fort Drive,NULL,Bingham,United Kingdom,NULL,447748513772,1,Level: 1 Block: 8 Seat: 56,2015-07-11
21500,Kathy,Hubbard,Miss,Bridge House,9 East Estate,Bingham,United Kingdom,441084601149,447587250018,1,Level: 2 Block: 1 Seat: 19,2015-07-07
35000,Stevie,Walt,Mrs,3 North Street,NULL,Brixworth,United Kingdom,NULL,447721890500,1,Level: 1 Block: 1 Seat: 75,2015-07-09
49000,Ruth,Fagan,Mrs,40 Woodlands Street,NULL,Winsford,United Kingdom,441016468529,447832532467,0,Level: 3 Block: 13 Seat: 15,2015-07-11
26500,Lewis,Hatton,Mr,2 Court Avenue,NULL,Bingham,United Kingdom,441331478335,447815610079,0,Level: 2 Block: 14 Seat: 33,2015-07-08
59000,Brian,Mandley,Mr,3 Old Avenue,NULL,Sutton In Ashfield,United Kingdom,441208471149,447583135034,2,Level: 1 Block: 2 Seat: 67,2015-07-12
23500,Zachary,Mottram,Mr,52 Woods Close,NULL,Newport Pagnell,United Kingdom,441212048809,447460334441,2,Level: 1 Block: 5 Seat: 31,2015-07-07
37000,Daniel,Mcauliffe,Mr,2 Yew Way,NULL,Countesthorpe,United Kingdom,441473634710,447830332593,1,Level: 3 Block: 4 Seat: 80,2015-07-09
30000,Ciaran,Estrella,Mr,11 End Drive,NULL,Bingham,United Kingdom,441655667095,447973310396,1,Level: 3 Block: 6 Seat: 12,2015-07-08
31000,Francisca,Wright,Ms,Park Hall,34 Heath Road,Leek,United Kingdom,441970613468,447954277756,2,Level: 1 Block: 9 Seat: 61,2015-07-08
44500,Leonard,Miller,Mr,Coronation Lodge,1 Britannia Road,Nuneaton,United Kingdom,441429509000,447522222536,1,Level: 3 Block: 8 Seat: 18,2015-07-10
58000,Alan,Mccloskey,Mr,South House,10 Hill Street,Countesthorpe,United Kingdom,441069843435,447463089681,1,Level: 2 Block: 8 Seat: 74,2015-07-12
27500,James,Meades,Mr,7 Central Road,NULL,Bingham,United Kingdom,441558921148,447939371970,0,Level: 3 Block: 12 Seat: 19,2015-07-08
43500,Greg,Broom,Mr,Court Place,55 Queens Lane,Bingham,United Kingdom,441862522522,447882662482,1,Level: 2 Block: 6 Seat: 68,2015-07-10
57000,Kevin,Conrad,Mr,20 Stone Road,NULL,Countesthorpe,United Kingdom,NULL,447784097455,1,Level: 1 Block: 7 Seat: 19,2015-07-12
40000,Janet,Lester,Ms,5 County Avenue,NULL,Halesowen,United Kingdom,441607275417,447750399434,0,Level: 2 Block: 4 Seat: 29,2015-07-10
53500,Sikander,Orr,Mr,37 New Road,NULL,Countesthorpe,United Kingdom,441711318509,447542082021,0,Level: 1 Block: 9 Seat: 25,2015-07-12
32000,Vernon,Pitt,Mr,3 East Drive,NULL,Bingham,United Kingdom,NULL,447858306691,0,Level: 1 Block: 8 Seat: 29,2015-07-09
45500,Deborah,Fenderson,Mrs,3 Town Drive,NULL,Bingham,United Kingdom,441695584189,447485473947,2,Level: 1 Block: 12 Seat: 31,2015-07-10
21000,Christian,Nieves,Mr,10 Boundary Street,NULL,Stroud,United Kingdom,441939806351,447576952807,1,Level: 1 Block: 4 Seat: 44,2015-07-07
27000,Robert,Miller,Mr,3 Court Way,NULL,Cowley,United Kingdom,NULL,447566069543,0,Level: 3 Block: 5 Seat: 65,2015-07-08
40500,Pedro,Fraser,Mr,5 West Road,NULL,Tipton,United Kingdom,441729423495,447829874046,0,Level: 2 Block: 10 Seat: 61,2015-07-10
54000,Brian,Pearson,Mr,4 West Hill,NULL,Ryton,United Kingdom,441769014113,447971043245,0,Level: 1 Block: 15 Seat: 57,2015-07-12
29000,Barbara,Martin,Miss,57 Green Way,NULL,Kettering,United Kingdom,441536986986,447968913844,1,Level: 2 Block: 4 Seat: 62,2015-07-08
34000,Charles,Dummer,Mr,3 Town Street,NULL,Armitage,United Kingdom,NULL,447891966551,0,Level: 3 Block: 4 Seat: 1,2015-07-09
47500,Louise,Johnson,Miss,Town Place,20 Court Drive,Bingham,United Kingdom,NULL,447964593807,0,Level: 2 Block: 8 Seat: 75,2015-07-11
48500,Brian,Martin,Mr,Ford Court,39 Town Close,Burton Latimer,United Kingdom,NULL,447410826278,0,Level: 3 Block: 6 Seat: 61,2015-07-11
30500,Sherri,Thomas,Miss,34 East Drive,NULL,Wigston Magna,United Kingdom,441403643729,447908787252,2,Level: 1 Block: 3 Seat: 53,2015-07-08
44000,Hazel,Marsden,Ms,East House,87 Long Street,Coedpoeth,United Kingdom,NULL,447751724624,1,Level: 3 Block: 3 Seat: 43,2015-07-10
57500,Patricia,Martinez,Ms,79 West Road,NULL,Oundle,United Kingdom,NULL,447760213673,1,Level: 2 Block: 3 Seat: 99,2015-07-12
28500,Ryan,James,Mr,Hill Lodge,2 Lower Close,Woburn Sands,United Kingdom,441416765311,447586664109,1,Level: 1 Block: 7 Seat: 87,2015-07-08
42000,Theresa,Cano,Ms,81 Field Drive,NULL,Milton Keynes,United Kingdom,441908579760,447448740773,0,Level: 3 Block: 15 Seat: 1,2015-07-10
55500,June,Stephens,Ms,46 West Road,NULL,Bingham,United Kingdom,441134566464,447779608052,0,Level: 3 Block: 4 Seat: 75,2015-07-12
24000,Lisa,Stacy,Miss,2 Farm Hill,NULL,Droitwich,United Kingdom,441502729841,447582799400,2,Level: 1 Block: 11 Seat: 39,2015-07-07
25000,Ricky,Wyckoff,Mr,24 Hill Lane,NULL,Hatfield,United Kingdom,NULL,447791833598,0,Level: 1 Block: 10 Seat: 15,2015-07-08
